STATE,Native_Ratio_1970,Foreign_Ratio_1970,Europe_Ratio_Total_1970,Europe_Ratio_Foreign_1970,Asia_Ratio_Total_1970,Asia_Ratio_Foreign_1970,Africa_Ratio_Total_1970,Africa_Ratio_Foreign_1970,Oceania_Ratio_Total_1970,Oceania_Ratio_Foreign_1970,Americas_Ratio_Total_1970,Americas_Ratio_Foreign_1970,Other_Ratio_Total_1970,Other_Ratio_Foreign_1970,Total_Population_1970,Native_Ratio_1980,Foreign_Ratio_1980,Europe_Ratio_Total_1980,Europe_Ratio_Foreign_1980,Asia_Ratio_Total_1980,Asia_Ratio_Foreign_1980,Africa_Ratio_Total_1980,Africa_Ratio_Foreign_1980,Oceania_Ratio_Total_1980,Oceania_Ratio_Foreign_1980,Americas_Ratio_Total_1980,Americas_Ratio_Foreign_1980,Other_Ratio_Total_1980,Other_Ratio_Foreign_1980,Total_Population_1980,Native_Ratio_1990,Foreign_Ratio_1990,Europe_Ratio_Total_1990,Europe_Ratio_Foreign_1990,Asia_Ratio_Total_1990,Asia_Ratio_Foreign_1990,Africa_Ratio_Total_1990,Africa_Ratio_Foreign_1990,Oceania_Ratio_Total_1990,Oceania_Ratio_Foreign_1990,Americas_Ratio_Total_1990,Americas_Ratio_Foreign_1990,Other_Ratio_Total_1990,Other_Ratio_Foreign_1990,Total_Population_1990,Native_Ratio_2000,Foreign_Ratio_2000,Europe_Ratio_Total_2000,Europe_Ratio_Foreign_2000,Asia_Ratio_Total_2000,Asia_Ratio_Foreign_2000,Africa_Ratio_Total_2000,Africa_Ratio_Foreign_2000,Oceania_Ratio_Total_2000,Oceania_Ratio_Foreign_2000,Americas_Ratio_Total_2000,Americas_Ratio_Foreign_2000,Other_Ratio_Total_2000,Other_Ratio_Foreign_2000,Total_Population_2000,Native_Ratio_2010,Foreign_Ratio_2010,Europe_Ratio_Total_2010,Europe_Ratio_Foreign_2010,Asia_Ratio_Total_2010,Asia_Ratio_Foreign_2010,Africa_Ratio_Total_2010,Africa_Ratio_Foreign_2010,Oceania_Ratio_Total_2010,Oceania_Ratio_Foreign_2010,Americas_Ratio_Total_2010,Americas_Ratio_Foreign_2010,Other_Ratio_Total_2010,Other_Ratio_Foreign_2010,Total_Population_2010
Alabama,0.9953579230625397,0.004642076937460295,0.002923219327392435,0.6297222917187891,0.0006376032621130103,0.1373530147610708,6.707028850095873e-05,0.014448336252189142,5.4585343022425284e-05,0.011758819114335751,0.000847524554693933,0.18257443082311733,0.00011207416173753276,0.024143107330497873,3444148,0.9899837899806055,0.010016210019394498,0.0038254823970283684,0.38192913183939287,0.0023958059399756745,0.23919286190451772,0.000346183557410999,0.03456233013691606,7.344844022221492e-05,0.007332957284241833,0.0015932661648203543,0.15906876570432285,0.0017820235199368856,0.17791395313060868,3893888,0.9892260703704685,0.01077392962953155,0.0034579134170356933,0.3209519215307927,0.004280071187676444,0.3972618473342062,0.00044869718186986196,0.041646566972182025,6.805941809939992e-05,0.006317046838030919,0.0019977295378122042,0.18542255300576574,0.0005214588870379477,0.04840006431902235,4040587,0.9802630928020508,0.019736907197949224,0.004140900811764971,0.20980494918652873,0.00589935013829237,0.2988994212277264,0.0008234579838546468,0.04172173358246366,0.0001189539250297947,0.006026978991022194,0.008753120010793551,0.4434899512372966,1.1243282138921994e-06,5.696577496240259e-05,4447100,0.965098885862091,0.034901114137908945,0.0038674354649441967,0.11081123226216609,0.009437497043325074,0.27040675567070904,0.0014166920993040877,0.04059160099319875,0.00014024581952330655,0.0040183765758633515,0.020039243710812282,0.5741720344980628,0.0,0.0,4777326
Alaska,0.9741562410530591,0.025843758946940895,0.012374243463323368,0.478809738503156,0.0051700834271028225,0.20005152647172486,0.0001364928657509438,0.005281463351796986,0.0003295803343742301,0.012752801751900038,0.006498392047459568,0.25144918201726135,0.0013349668089299624,0.05165528790416076,300382,0.9596467347350137,0.040353265264986275,0.012713667503626966,0.31505920078934385,0.013402977720597934,0.3321410952146029,0.00042801934050182777,0.010606808090774543,0.0004329963095774304,0.010730143068574248,0.009702601212887364,0.24044153922052294,0.003673003177794755,0.09102121361618155,401851,0.9548871633672277,0.045112836632772345,0.010628259972402158,0.23559281051019584,0.020680201366075016,0.4584105746755864,0.00041087696780069924,0.009107761747400661,0.0008162998165597963,0.01809462400257919,0.010842788654705178,0.24034819053759973,0.0017344098552295002,0.038446038526638186,550043,0.9407112733119382,0.059288726688061864,0.011843389713716958,0.19975786924939468,0.030028775050563696,0.506483723432876,0.0005885805797119942,0.009927360774818402,0.0015902841137475834,0.026822706483723435,0.01523769723032163,0.2570083400591875,0.0,0.0,626932,0.9306169398668896,0.06938306013311041,0.011422520773013433,0.16462982104132465,0.03829209198201758,0.5518939624247583,0.0026802073856165955,0.03862913195922255,0.0019208621661869199,0.02768488680813117,0.015054722072618714,0.21697979368071177,0.0,0.0,711139
Arizona,0.9567619274569384,0.043238072543061605,0.015387152131721114,0.35587044534412954,0.00251229182113205,0.05810369596447695,0.0001428657744990804,0.0033041661225022855,0.00017110011728545995,0.003957163379913804,0.02322782912349871,0.5372077837273084,0.001796833574925193,0.04155674546166906,1770893,0.9401055472065307,0.05989445279346924,0.01573164742303313,0.2626561674631156,0.006517512411637784,0.10881662837978945,0.0005393245199515123,0.009004582140707346,0.00032926019464979775,0.005497340392860214,0.03312247191631273,0.5530140166824319,0.0036542363278842917,0.06101126494109554,2718215,0.9240961271713519,0.07590387282864804,0.012837673399853979,0.16913067701874518,0.009800481716280679,0.1291170180262756,0.0007958577201745703,0.010485073956255279,0.0003716003479183287,0.004895670458834313,0.04886053473344632,0.6437159648460667,0.0032377249109741602,0.0426555956938229,3665228,0.8721048401054685,0.1278951598945315,0.01396981892289293,0.1092286755371596,0.015095606155343045,0.11803109803210385,0.0016518432816853752,0.01291560433598554,0.0006151288964010671,0.00480963389786081,0.0965627626382091,0.7550149881968902,0.0,0.0,5130632,0.8644795124114429,0.13552048758855706,0.012834077291471397,0.09470211862309641,0.022755338927174774,0.16791069256082106,0.0034458075747869398,0.025426469724994506,0.0005872738001481521,0.004333468766221733,0.09589798999497581,0.7076272503248663,0.0,0.0,6410979
Arkansas,0.9956911253925667,0.004308874607433289,0.002782284062311516,0.6457101484252443,0.0006842619745845552,0.1588029443707011,1.5078721324431689e-05,0.0034994569808133222,4.8355899419729206e-05,0.011222396524677205,0.0006426655019654334,0.14914926994087124,0.00013622844782762422,0.03161578375769277,1923240,0.9902157725892055,0.009784227410794533,0.0039222632613654,0.4008761342809888,0.002766315246223925,0.2827321085333691,0.0002707271363498197,0.027669751016941576,9.534493654969418e-05,0.009744758839569085,0.001350574147089246,0.13803584998435475,0.0013790026832164483,0.14094139734477673,2286435,0.9894215614331748,0.01057843856682513,0.003338119090918759,0.3155587726706076,0.0038434950919397208,0.3633329311939518,0.0002769358389433047,0.026179273736276994,0.0001344266130661817,0.012707604455704347,0.0025532548469089323,0.24136405678208067,0.0004322070850482298,0.04085736116137853,2350725,0.9724358494800628,0.02756415051993716,0.0037510286526520535,0.13608359343194462,0.005927283608887559,0.21503596146017098,0.0005622054312860029,0.020396254579997285,0.0004357746689608738,0.015809472112905416,0.01688785815815067,0.6126747184149817,0.0,0.0,2673400,0.9557158688946403,0.04428413110535967,0.0036315668920151476,0.0820060550217191,0.009263907347896633,0.20919248310091446,0.000663152711656812,0.014974951412709351,0.0011946349779794897,0.0269765929275488,0.029530869175811592,0.6668499175371083,0.0,0.0,2916372
California,0.9119124506997538,0.08808754930024616,0.03433219236425922,0.38975079494195075,0.013806474060825049,0.156735817609884,0.0006103529815450023,0.006928935887007321,0.0014460369997871456,0.016415906802655304,0.03558251154564765,0.4039448461026513,0.002309981348182099,0.026223698655851283,19957304,0.8487388954035723,0.1512611045964277,0.029246022735771003,0.19334793841285822,0.03704924923214571,0.24493573103935076,0.0014598252096869422,0.009651028356442524,0.0012633143402402123,0.008351878320674697,0.07453212371759863,0.4927381954300421,0.007710569360985186,0.050975228440631695,23667902,0.782969743200114,0.217030256799886,0.022589500188860755,0.10408456646526265,0.06722444853113511,0.30974689668786504,0.0022131704812977113,0.0101975204468305,0.0015079290434640486,0.006948012989978827,0.11459793660763881,0.5280274662961142,0.008897271947489554,0.040995537113948745,29760021,0.7382986797689914,0.26170132023100856,0.020565223162451383,0.0785828025028612,0.08616769990051856,0.329259706540482,0.0033436518943512875,0.012776595438646563,0.0019819230525777785,0.007573225273866783,0.1496408441655983,0.5718001117973254,1.9780555112051237e-06,7.558446818147718e-06,33871648,0.7292774121670723,0.27072258783292774,0.01786472297920529,0.06598903742095664,0.09788635884065905,0.3615744058307691,0.004152758676822773,0.01533953524183059,0.002002193271288883,0.007395737782044643,0.1488156699406415,0.549698017930003,0.0,0.0,37325068
Colorado,0.9726760656542798,0.02732393434572019,0.017721980066679986,0.6485881514151647,0.002558376701601398,0.09363134419923397,0.0001852976927492424,0.00678151580971962,0.00019526480580665885,0.007146291721244881,0.0056576958118643985,0.2070600719603389,0.0010053192670185058,0.03679262489429789,2207259,0.960508158579138,0.03949184142086199,0.016781869947168893,0.42494523788662053,0.008290068665215207,0.20991851397529132,0.0009121220887180602,0.02309646893892929,0.000305194113144662,0.007728029440112152,0.010761033701457872,0.2724875142381495,0.002441552905157296,0.06182423552089722,2889964,0.9567647342728284,0.04323526572717167,0.013748203766762567,0.3179858741592597,0.01117747300413976,0.2585267562520185,0.0010047371383022188,0.023238833424603676,0.0003442211223065608,0.00796158220649564,0.01567268517366168,0.3624977182414311,0.0012879455219988866,0.02978923571619136,3294394,0.9140012661403248,0.0859987338596751,0.015175549681825865,0.17646247800098944,0.016836225469693655,0.19577294588040647,0.0022697994843837656,0.026393405838828016,0.00071258172893949,0.008285956047936891,0.05100248508518781,0.5930608835289252,2.0924096445205254e-06,2.4330702914007185e-05,4301261,0.9028419031845664,0.09715809681543365,0.013743212423602274,0.14145205468268449,0.02099327503696816,0.21607334566102124,0.004822865151928878,0.04963935389852925,0.0008207655468045568,0.008447731827885883,0.056777978656129775,0.5843875139298791,0.0,0.0,5042853
Connecticut,0.9137073033161208,0.0862926966838792,0.06292927577056474,0.729253786112364,0.0026358105422526266,0.0305450014142974,0.0003997750440758583,0.004632779591306276,0.0004894935358156549,0.00567247930156643,0.016028934213586084,0.18575076257386838,0.0038094075775842308,0.04414519100659751,3031705,0.9138215766887117,0.08617842331128828,0.05509310150419491,0.6392911286528308,0.006191642617911839,0.07184678461274206,0.0009341686253208288,0.010839936371851265,0.00031374936606538346,0.0036406951300568323,0.01930894047321771,0.22405771341941555,0.004336820724577613,0.05032374181310351,3107576,0.9150066502064423,0.08499334979355763,0.043287185484175185,0.5093008522351038,0.011819479446420509,0.13906357938743588,0.0015341715960130401,0.018050489829374013,0.00033494406647042573,0.003940826750374934,0.02465626403205728,0.2900963909758289,0.0033613051684211934,0.039547860821882504,3287116,0.8913639880607183,0.10863601193928174,0.041444224379801886,0.38149618749780384,0.020600399640001,0.18962772355372237,0.0028623737911330424,0.02634829592909638,0.00040756820087122105,0.0037516859611803214,0.04331968410528062,0.3987598893955407,1.7618221939678145e-06,1.6217662656399084e-05,3405565,0.8651032287268424,0.13489677127315755,0.03777658275136449,0.28004067402672866,0.030890655176497035,0.22899477048227773,0.005202657288353186,0.03856769320162696,0.0004327849431150942,0.003208267618494231,0.060594091113827755,0.4491885946708724,0.0,0.0,3572213
Delaware,0.9714501006216099,0.028549899378390163,0.019757595882450605,0.6920373210633947,0.003306008286914812,0.11579754601226994,7.845383903826541e-05,0.0027479550102249488,0.0002499575801916828,0.008755112474437627,0.003747539194990631,0.13126278118609408,0.0014103445948041664,0.04939928425357873,548093,0.9683193738243222,0.031680626175677816,0.01764652436828875,0.557013118062563,0.006188397847689362,0.19533698019013224,0.0006309541035572351,0.019916086887248392,0.00013460354209221016,0.0042487652026129905,0.004467155053185225,0.14100589516171863,0.0026129912608650295,0.08247915449572468,594338,0.9665624887415787,0.0334375112584213,0.01301023165327665,0.3890909090909091,0.010107060080940544,0.30226711560044894,0.0009096804409698454,0.027205387205387205,0.0001531145296681918,0.004579124579124579,0.008169110494649998,0.2443097643097643,0.0010883140589160692,0.03254769921436588,666168,0.9427029096477795,0.05729709035222052,0.012690148034711588,0.2214797986547285,0.017224349157733538,0.3006147267138848,0.0028688106176620724,0.050069045391776916,0.00011230219499744768,0.001959998218183438,0.024401480347115874,0.42587643102142636,0.0,0.0,783600,0.9167843347246123,0.08321566527538769,0.011370567173000374,0.13663974367532208,0.025725144451196547,0.3091382417729124,0.007905515974896988,0.09500033375609104,0.00017553000618798819,0.0021093384954275415,0.038038907670105794,0.457112342300247,0.0,0.0,900131
District Of Columbia,0.9556346927660835,0.04436530723391655,0.018732517990937114,0.4222334783385972,0.007497766004134875,0.16900065550324772,0.0026014815754826226,0.058637745068827844,0.000660945522226276,0.014897801084559919,0.013382824934037637,0.30165067636016923,0.0014897712070980262,0.033579643644598055,756492,0.9364610634261428,0.06353893657385722,0.016212541103154624,0.2551591508666387,0.009130030877300719,0.14369190561897482,0.005293475349073289,0.08331073251312902,0.0004543083312315046,0.007150077664636702,0.023995312791286052,0.3776473778939323,0.00845326812181103,0.13304075544268842,638333,0.9029708353929807,0.09702916460701928,0.017273026857801944,0.17801891758792263,0.016081726808370406,0.16574116528266,0.010827154391168232,0.11158659806069252,0.0005404514747075301,0.005569989980810705,0.04637502059647389,0.4779492927131625,0.005931784478497282,0.06113403637475164,606900,0.8714101167886529,0.1285898832113471,0.02256585422133032,0.17548701078016885,0.021856137216615768,0.16996778184092115,0.01609624182121075,0.1251750248093419,0.0010226217925074163,0.007952583570098285,0.06703853973104172,0.5213360340397765,1.0488428641101705e-05,8.156495969331575e-05,572059,0.8645533949970202,0.13544660500297973,0.023697543082314913,0.1749585608424337,0.025916247220429248,0.19133921606864274,0.02025723101101263,0.14955879485179407,0.0014015474801034734,0.010347601404056161,0.06417403620911946,0.4737958268330733,0.0,0.0,605759
Florida,0.9204222239340453,0.07957777606595474,0.032490433961377636,0.40828527219018146,0.002210215567452889,0.02777428167408252,0.00023242170901243897,0.002920686157650421,0.0010456031129780128,0.013139385952573092,0.04140155298353326,0.5202652678961435,0.0021975487316005004,0.027615106129369,6789383,0.8913711467010537,0.10862885329894635,0.03122838928810493,0.28747785086310795,0.005734572337221706,0.052790507890570985,0.000869045601192819,0.008000136011757461,0.00029272574972882083,0.00269473294469233,0.06246406337404749,0.5750227630788528,0.008040056948650589,0.07401400921101846,9746324,0.8714940091634471,0.12850599083655292,0.023375925940525552,0.1819053398861182,0.00898737556544998,0.06993740530650469,0.001148252045961617,0.008935397007459997,0.00029200970851124054,0.002272343153889598,0.0890486620498525,0.6929533905007876,0.0056537655262520435,0.0439961241452399,12937926,0.8328891983408226,0.16711080165917738,0.022238680626875423,0.1330774576273725,0.01451448589189919,0.08685546205146868,0.0021583146137577275,0.01291547040842765,0.00031015409596744616,0.0018559787451681651,0.12788703908767518,0.7652829010329381,2.1273430023992675e-06,1.2730134624917815e-05,15982378,0.8070265995211476,0.1929734004788524,0.020060733426980094,0.10395595132386402,0.019382899327471656,0.10044337343579016,0.003185412539967907,0.01650700320387934,0.0003602300897551685,0.0018667344248548157,0.14998412509467757,0.7772269376116117,0.0,0.0,18885152
Georgia,0.9928123969810673,0.007187603018932715,0.004284062403245272,0.5960349217897417,0.0009373429182565944,0.13041105856675156,9.979150547687594e-05,0.013883836546623014,6.340464649294955e-05,0.008821389596216806,0.0015580983748147157,0.21677579725960955,0.00024490317064630686,0.034072996241057356,4589569,0.9832549438460363,0.016745056153963725,0.006123989928804224,0.36571928290336686,0.004177477826254484,0.2494752951464801,0.0005103324940670187,0.030476606908613906,0.00011660035822119472,0.0069632706602536076,0.003281650270313311,0.1959772627896808,0.002535005276303494,0.15138828159160472,5463105,0.9732756672516014,0.026724332748398635,0.006128847818596972,0.22933585943185889,0.009062371492398524,0.3391056224945993,0.0016938305237120838,0.0633815833554752,0.00015729639147567788,0.005885886579716507,0.008501877677434651,0.3181324584406733,0.0011801088447807235,0.04415858969767684,6478216,0.9294843566560511,0.07051564334394884,0.009070717195835607,0.12863411245632483,0.017797207166522548,0.25238665241575475,0.004937791739597112,0.07002406140595524,0.00024687126402606844,0.0035009432279008374,0.0384630559779675,0.5454542304940644,0.0,0.0,8186453,0.9032829969090754,0.09671700309092457,0.009102513966394186,0.09411492990365744,0.025726823289844356,0.2660010387796893,0.007732303924137036,0.07994772043203018,0.0002808153403408839,0.0029034743774772128,0.05387289955941432,0.5570158073319114,0.0,0.0,9714569
Hawaii,0.9016406027383714,0.09835939726162858,0.007279857499554361,0.07401283153647728,0.08005110863316935,0.813863350750711,0.0001756533981125717,0.001785832396322508,0.004391334952814293,0.0446458099080627,0.003591136139190355,0.03651035121370461,0.0028703066387876534,0.029181824194721873,768559,0.8579690284246458,0.1420309715753542,0.009433072351664937,0.06641560109768202,0.11214264463957889,0.7895647223681905,0.0005110444691616279,0.0035981199275996966,0.007636642199419296,0.05376744321831027,0.0059884460412712465,0.04216295907047352,0.006319121874258182,0.04449115431774391,964691,0.8531855780709583,0.14681442192904173,0.0075634187519005545,0.05151686498180746,0.12067451763128378,0.8219527485495133,0.0006307360662823297,0.004296145147015439,0.0074325793676216735,0.050625676074343595,0.006654761786598257,0.04532771167273085,0.003858408325355139,0.02628085357458944,1108229,0.8248266458226203,0.17517335417737964,0.008649343767462323,0.04937590998402669,0.1458535727757386,0.8326241936775841,0.0008584137339594251,0.0049003670563400855,0.011103251489636718,0.06338436311719887,0.00870877241058259,0.049715166164850236,0.0,0.0,1211537,0.8188914898769382,0.18110851012306178,0.00907296382995898,0.050096838761436294,0.14059424831037695,0.7762984092511406,0.0009781834992992008,0.00540109075291124,0.018225180336530346,0.100631275273296,0.012237934146896303,0.06757238596121587,0.0,0.0,1362730
Idaho,0.9823567468041602,0.017643253195839828,0.010441123431200154,0.5917912822144448,0.0012546188639103411,0.07111040407254215,8.279923151086143e-05,0.004692968501431753,0.00011227014442150703,0.006363347120585428,0.005268276526979218,0.2986000636334712,0.0004841649978177491,0.027441934457524658,712567,0.9752059198991456,0.0247940801008544,0.008267518420230206,0.33344727397026147,0.00317288796368394,0.12796957784994017,0.0003496003432439734,0.014100153819859853,0.0004089264620974961,0.016492907195351222,0.010765571781955325,0.43419928217398734,0.0018295751296434606,0.0737908049905999,943935,0.9712887720772506,0.028711227922749365,0.006410733956527396,0.2232831690019028,0.004373483360797975,0.1523265870956582,0.0002334246172581249,0.008130081300813009,0.0003317609453796329,0.011555094274346998,0.016593013750199902,0.5779276941705588,0.0007688112925863348,0.02677737415672029,1006749,0.9504773357301232,0.04952266426987688,0.00932336800486571,0.18826466916354556,0.006239021046359489,0.12598314606741573,0.000421189950485064,0.008504993757802747,0.00039568670577679407,0.007990012484394507,0.03314339856238983,0.6692571785268414,0.0,0.0,1293953,0.9400345579132072,0.05996544208679279,0.009120406071426066,0.1520943689237773,0.009534361141036214,0.1589975961027081,0.0013343513183735457,0.022252005020528858,0.0008074994115969928,0.01346607952007148,0.03916882414435997,0.6531899504329143,0.0,0.0,1567803
Illinois,0.9433907169121784,0.05660928308782163,0.04090625548519504,0.7226068456252047,0.003640954322671239,0.06431726607494379,0.0002492472624657386,0.004402939745395915,0.0001523927827210168,0.002692010469106278,0.009742696533131704,0.17210422039822038,0.0019177367016368948,0.03387671768712892,11109450,0.9279136478846837,0.07208635211531632,0.03205158386833154,0.44462762961092445,0.012834093465743457,0.17803777121656533,0.0007900044440484844,0.010959140265340611,0.00018019487651443772,0.0024997086303684855,0.021619534489859465,0.2999116178784406,0.004610940970818932,0.06396413239836056,11426518,0.9166910019262328,0.08330899807376724,0.02691949207924482,0.3231282658736159,0.019713659875481623,0.23663302081758153,0.0010837574433962445,0.013008888216812004,0.00015913422582642628,0.0019101685232790632,0.032792148654987724,0.3936207302115362,0.0026408057948304033,0.031698926357175264,11430602,0.8768804311163284,0.12311956888367157,0.03139695633237737,0.25501190929317263,0.028972019582757247,0.2353161227370054,0.0021062390588578593,0.017107264734235066,0.000205567257330993,0.00166965543491483,0.06043878665234809,0.49089504780067206,0.0,0.0,12419293,0.8621082107883273,0.1378917892116726,0.02987010151389675,0.21661987044090245,0.037074562573203386,0.26886707892586403,0.0037586966794709237,0.027258306683518963,0.0002882127534143386,0.00209013716525147,0.06690021569168722,0.4851646067844631,0.0,0.0,12823860
Indiana,0.9839808690009848,0.016019130999015148,0.011342664573090485,0.7080699055265751,0.001231692841182479,0.07688886752085387,0.00011706569445661204,0.007307867977595616,0.00010069960230396069,0.006286208803096228,0.0026697909857489846,0.1666626601601,0.0005572173022326237,0.03478449001177913,5193665,0.9814575871585567,0.018542412841443263,0.009070121729095207,0.4891554193434314,0.003781266483844739,0.20392526669417105,0.0003500767910380342,0.01887978625174358,9.544237175022367e-05,0.00514724661598004,0.0038415554629465027,0.2071766762931966,0.0014039500027685572,0.07571560480147738,5490224,0.9829977819900186,0.017002218009981314,0.006958494516481219,0.4092698089388201,0.005022402856772325,0.2953969213795445,0.0004180976772130814,0.024590772625526454,0.00012048716496045658,0.007086555700539979,0.003922326181482169,0.23069497045500356,0.0005604096130720638,0.03296097090056544,5544159,0.9693225129245446,0.03067748707545533,0.007121964777480744,0.23215606806265882,0.008159382022980074,0.26597295935325466,0.0012018778107338477,0.03917784425359452,0.0001619936567559989,0.005280538668553722,0.014031446504678491,0.45738578489712334,8.223028261725833e-07,2.6804764814993512e-05,6080485,0.9540572628605526,0.045942737139447354,0.0066116416083188264,0.1439104855300826,0.013439148381088362,0.29251954101683764,0.0024462148814360586,0.053244865973291984,0.00017670105604322236,0.003846115121676181,0.023269031212560885,0.5064789923581116,0.0,0.0,6485530
Iowa,0.9857607485688874,0.01423925143111257,0.010796012995436869,0.7581868364124624,0.0010196942616705425,0.07161150757142502,0.0001858817664503593,0.013054181067707686,0.00012144275408090141,0.008528731630902354,0.00168603613683164,0.11840763856080762,0.0004301835166422601,0.03021110475669493,2824376,0.983643740424901,0.016356259575098977,0.0076580200205367,0.46820117921064225,0.004267954511759183,0.2609370737950859,0.00041114582704145227,0.025136910132398917,0.0001256088252897926,0.007679556851801338,0.002678968552492134,0.16378858138022198,0.0012145618379797159,0.07425669862984956,2913808,0.984400496262724,0.015599503737276066,0.005050499593950493,0.32376027334010526,0.00647158283680051,0.4148582509927048,0.00044368336421470386,0.028442146089204912,0.00011704309526767756,0.007503001200480192,0.003053204189782678,0.19572444362360328,0.00046349065726000315,0.02971188475390156,2776755,0.9688739182674235,0.031126081732576433,0.00694591576325793,0.22315419662952188,0.010307129354097496,0.3311412416973157,0.0013593846751077461,0.04367349179337981,0.00018589875898909349,0.005972443322171598,0.012327069729804355,0.39603666904539714,6.834513198128436e-07,2.195751221386617e-05,2926324,0.9565796027491382,0.04342039725086181,0.006546692102691717,0.15077457870475328,0.014349107475080768,0.3304692813420993,0.003050879268786467,0.07026373460288672,0.0002726694635794315,0.006279755157560644,0.01920104894072343,0.44221265019270006,0.0,0.0,3047646
