GISJOIN,GEOGYEAR,STATE,STATEA,CW3AA1990,CW3AA1990L,CW3AA1990U,CW3AA2000,CW3AA2000L,CW3AA2000U,CW3AA2010,CW3AB1990,CW3AB1990L,CW3AB1990U,CW3AB2000,CW3AB2000L,CW3AB2000U,CW3AB2010,CW3AC1990,CW3AC1990L,CW3AC1990U,CW3AC2000,CW3AC2000L,CW3AC2000U,CW3AC2010,CW3AD1990,CW3AD1990L,CW3AD1990U,CW3AD2000,CW3AD2000L,CW3AD2000U,CW3AD2010,CW3AE1990,CW3AE1990L,CW3AE1990U,CW3AE2000,CW3AE2000L,CW3AE2000U,CW3AE2010,CW3AF1990,CW3AF1990L,CW3AF1990U,CW3AF2000,CW3AF2000L,CW3AF2000U,CW3AF2010,CW3AG1990,CW3AG1990L,CW3AG1990U,CW3AG2000,CW3AG2000L,CW3AG2000U,CW3AG2010,CW3AH1990,CW3AH1990L,CW3AH1990U,CW3AH2000,CW3AH2000L,CW3AH2000U,CW3AH2010,CW3AI1990,CW3AI1990L,CW3AI1990U,CW3AI2000,CW3AI2000L,CW3AI2000U,CW3AI2010,CW3AJ1990,CW3AJ1990L,CW3AJ1990U,CW3AJ2000,CW3AJ2000L,CW3AJ2000U,CW3AJ2010,CW3AK1990,CW3AK1990L,CW3AK1990U,CW3AK2000,CW3AK2000L,CW3AK2000U,CW3AK2010,CW3AL1990,CW3AL1990L,CW3AL1990U,CW3AL2000,CW3AL2000L,CW3AL2000U,CW3AL2010,CW3AM1990,CW3AM1990L,CW3AM1990U,CW3AM2000,CW3AM2000L,CW3AM2000U,CW3AM2010,CW3AN1990,CW3AN1990L,CW3AN1990U,CW3AN2000,CW3AN2000L,CW3AN2000U,CW3AN2010,CW3AO1990,CW3AO1990L,CW3AO1990U,CW3AO2000,CW3AO2000L,CW3AO2000U,CW3AO2010,CW3AP1990,CW3AP1990L,CW3AP1990U,CW3AP2000,CW3AP2000L,CW3AP2000U,CW3AP2010,CW3AQ1990,CW3AQ1990L,CW3AQ1990U,CW3AQ2000,CW3AQ2000L,CW3AQ2000U,CW3AQ2010,CW3AR1990,CW3AR1990L,CW3AR1990U,CW3AR2000,CW3AR2000L,CW3AR2000U,CW3AR2010,CW3AS1990,CW3AS1990L,CW3AS1990U,CW3AS2000,CW3AS2000L,CW3AS2000U,CW3AS2010,CW3AT1990,CW3AT1990L,CW3AT1990U,CW3AT2000,CW3AT2000L,CW3AT2000U,CW3AT2010,CW3AU1990,CW3AU1990L,CW3AU1990U,CW3AU2000,CW3AU2000L,CW3AU2000U,CW3AU2010,CW3AV1990,CW3AV1990L,CW3AV1990U,CW3AV2000,CW3AV2000L,CW3AV2000U,CW3AV2010
"G160","2010","Idaho","16",80193.14,80162,80205,97643.27,97639,97656,121772,90043.11,90012,90054,100756.19,100738,100774,121195,90186.13,90160,90194,104608.28,104585,104620,116955,47983.00,47967,47985,66023.05,66008,66028,69150,32454.99,32447,32455,44835.09,44831,44840,46209,14609.01,14607,14611,19868.01,19867,19870,22204,13491.01,13491,13493,19396.00,19393,19397,21776,37692.01,37682,37694,54730.00,54725,54732,64229,72067.10,72051,72076,85128.04,85128,85132,106734,80733.07,80709,80740,84305.08,84302,84317,102231,79894.03,79883,79897,94913.21,94895,94928,96845,69274.00,69254,69278,98055.10,98036,98062,94764,54547.00,54530,54550,92172.03,92165,92175,103560,44360.00,44347,44364,78076.00,78065,78082,104977,39407.00,39399,39411,60024.00,60017,60028,96997,15287.00,15281,15289,20324.01,20320,20326,35125,23263.06,23254,23271,27180.87,27176,27186,48191,37986.00,37978,37987,40169.86,40165,40175,63428,31769.01,31760,31772,35802.02,35797,35805,46106,24529.00,24518,24529,30443.00,30439,30446,34278,15583.01,15580,15584,21446.01,21443,21447,25614,11398.04,11394,11399,18057.00,18056,18057,25242
"G170","2010","Illinois","17",848140.95,848137,848141,876548.99,876548,876549,835577,836618.99,836618,836619,929857.92,929851,929858,859405,796467.95,796464,796468,905096.91,905091,905097,879448,465137.91,465133,465138,533946.99,533946,533947,554749,352862.95,352860,352863,360055.00,360055,360055,367343,179107.99,179107,179108,179332.00,179332,179332,179613,169098.97,169098,169099,167603.00,167603,167603,172795,511879.97,511879,511880,503908.00,503908,503908,526556,984089.79,984081,984090,891758.93,891754,891759,910273,1009094.94,1009091,1009095,919914.95,919912,919915,865684,906928.98,906927,906929,996885.95,996883,996886,855790,793214.91,793207,793215,986983.98,986982,986984,870100,636486.99,636486,636487,873812.00,873812,873812,940094,530239.94,530238,530240,752930.00,752930,752930,930785,485580.97,485580,485581,577747.00,577747,577747,807778,195754.97,195754,195755,195386.00,195386,195386,284180,293349.00,293349,293349,267499.94,267498,267500,381249,455751.98,455750,455752,397442.97,397442,397443,485060,366187.99,366187,366188,374803.97,374803,374804,364475,284279.99,284279,284280,316947.99,316947,316948,289385,182775.94,182774,182776,218798.92,218795,218799,235381,147548.99,147548,147549,192030.98,192029,192031,234912
"G180","2010","Indiana","18",398656.00,398652,398656,423215.60,423215,423217,434075,410465.37,410449,410469,443273.02,443273,443274,444821,406514.17,406506,406515,443416.03,443416,443417,452171,240333.23,240327,240336,264492.58,264492,264493,277231,187248.20,187244,187250,188991.75,188990,188993,198284,92617.00,92616,92617,95673.00,95673,95673,98994,86806.03,86803,86807,89190.00,89190,89190,94313,238212.03,238211,238213,240868.00,240868,240868,258719,448077.42,448072,448088,409035.65,409035,409039,419530,467034.78,467024,467037,422090.61,422090,422092,407815,433964.20,433956,433967,478207.61,478207,478209,417011,385199.75,385179,385201,482497.75,482496,482499,423819,311088.60,311082,311090,437123.17,437122,437124,473946,259705.98,259694,259710,379745.34,379743,379747,472822,239693.78,239681,239696,294169.58,294169,294170,418515,96812.03,96811,96813,99819.75,99818,99821,150022,145552.00,145550,145552,135858.23,135857,135861,200606,225935.58,225933,225936,203738.78,203737,203741,259057,176106.58,176102,176107,191656.03,191656,191657,193278,134740.58,134735,134741,159833.00,159833,159833,151843,87665.23,87663,87668,106047.64,106047,106050,121658,71751.00,71751,71751,91558.58,91558,91559,115272
"G190","2010","Iowa","19",193203.00,193202,193206,188413.00,188413,188417,202123,209338.00,209338,209339,202603.00,202603,202604,200646,204217.00,204216,204218,210547.00,210547,210552,200904,112122.00,112122,112123,132075.00,132075,132075,124320,87294.00,87292,87296,94345.00,94345,94345,92517,44005.00,44005,44005,47185.00,47184,47185,47227,41228.00,41228,41229,43184.00,43183,43184,44695,111186.00,111181,111189,113294.00,113294,113294,121428,206616.00,206613,206619,177259.00,177259,177260,197843,222003.00,222003,222006,185801.00,185801,185808,184740,212120.00,212117,212122,217897.00,217897,217901,177148,183201.00,183199,183201,227302.00,227300,227305,187400,146052.00,146049,146053,212663.00,212659,212665,216482,128376.00,128375,128382,180131.00,180130,180133,223244,122335.00,122335,122337,139052.00,139050,139054,204393,50049.00,50049,50049,48874.00,48874,48874,72152,77304.00,77304,77305,69486.00,69486,69488,96205,122454.00,122452,122457,107373.00,107373,107373,124365,104507.00,104506,104507,104562.00,104561,104562,100291,84486.00,84486,84487,91505.00,91505,91508,83387,59404.00,59404,59405,67655.00,67655,67655,70187,55255.00,55255,55255,65118.00,65118,65118,74658
"G200","2010","Kansas","20",188390.00,188390,188390,188707.84,188705,188708,205492,195981.00,195979,195981,195574.00,195572,195574,202447,179473.00,179472,179473,204017.90,204015,204018,198884,97770.00,97770,97770,124693.00,124692,124693,120116,74406.00,74405,74406,85425.00,85425,85425,83705,39311.00,39311,39311,42487.00,42487,42487,42758,36994.00,36993,36994,39084.95,39084,39085,40931,103782.00,103782,103782,108595.00,108595,108595,120765,201424.00,201422,201424,172974.79,172970,172975,197783,211749.00,211748,211749,175877.95,175877,175878,179937,195812.00,195811,195812,207548.84,207543,207549,172388,165514.00,165513,165514,212802.00,212801,212802,174285,128598.00,128597,128598,192679.00,192679,192679,201830,106790.00,106790,106790,161468.00,161468,161468,204434,103820.90,103818,103821,121645.00,121645,121645,182512,41529.00,41529,41530,41252.00,41252,41252,63661,63659.00,63659,63660,57356.00,57356,57356,85074,101421.00,101420,101421,90085.00,90085,90085,107755,83243.00,83242,83243,85831.00,85831,85831,82634,67620.00,67619,67620,75125.00,75125,75125,69466,48046.00,48046,48046,53418.00,53418,53418,56943,42241.00,42241,42242,51770.00,51770,51770,59318
"G210","2010","Kentucky","21",250871.07,250826,250915,265901.38,265863,265947,282367,265457.04,265376,265507,279258.29,279217,279333,282888,275287.05,275206,275351,279481.15,279440,279534,284154,162479.07,162429,162500,170179.21,170123,170216,173962,122682.00,122643,122698,118826.39,118810,118851,122833,59496.10,59478,59506,60868.00,60861,60877,61268,56482.01,56472,56487,57540.06,57532,57547,58657,161329.03,161290,161353,164624.05,164605,164664,170043,301293.98,301228,301339,281134.53,281081,281186,285296,308826.07,308752,308895,286974.35,286931,287041,280920,288610.05,288525,288660,321931.92,321861,322011,285411,260454.10,260371,260504,320734.59,320677,320824,291251,206883.02,206807,206918,293976.55,293915,294047,323642,175483.12,175429,175522,262956.05,262880,263013,319455,162821.32,162767,162860,204483.36,204429,204526,288027,63785.02,63758,63799,71143.12,71124,71164,106469,96214.01,96186,96223,96969.39,96944,96989,144497,150972.02,150916,150996,144671.28,144634,144705,185664,117254.01,117228,117278,129272.13,129229,129294,139650,92163.00,92124,92177,104760.01,104730,104771,105392,60089.00,60061,60100,67829.00,67814,67844,78313,46367.01,46353,46373,58261.00,58249,58265,69208
"G220","2010","Louisiana","22",334650.00,334647,334651,317392.00,317392,317392,314260,358365.00,358358,358366,336780.00,336780,336780,306362,342455.00,342452,342456,347912.00,347912,347915,306836,191799.00,191799,191803,217715.00,217715,217717,190557,140341.00,140341,140345,148230.00,148230,148231,136222,69669.00,69669,69670,71946.00,71946,71947,68251,65667.00,65667,65667,67101.00,67101,67103,67763,188834.00,188834,188835,186524.00,186524,186525,202295,345375.00,345373,345375,296161.00,296161,296162,332925,358547.00,358543,358548,305001.00,305001,305004,295508,326787.00,326783,326788,343128.00,343128,343131,276479,279149.00,279148,279155,348838.00,348838,348839,288120,221362.00,221360,221364,315768.00,315768,315771,325046,185078.00,185078,185085,270503.00,270503,270506,329329,171927.00,171924,171929,208761.00,208761,208765,292567,67728.00,67727,67728,71817.00,71817,71818,103687,103249.00,103247,103253,98470.00,98470,98473,139308,155859.00,155858,155865,148004.00,148004,148007,178365,119149.00,119145,119154,134921.00,134921,134925,133629,91394.00,91389,91395,106823.00,106823,106828,102876,58956.00,58956,58956,68505.00,68505,68508,77301,43633.00,43633,43635,58676.00,58676,58677,65686
"G230","2010","Maine","23",85722.00,85722,85722,70726.00,70726,70726,69520,88506.00,88506,88506,83022.00,83022,83022,74116,84579.00,84579,84579,92252.00,92252,92252,79013,50195.00,50195,50195,55238.00,55238,55238,51884,37732.00,37732,37732,34247.00,34247,34247,36426,18500.00,18500,18500,15330.00,15330,15330,17408,17334.00,17334,17334,14805.00,14805,14805,16566,50206.00,50206,50206,39521.00,39521,39521,45672,98773.00,98773,98773,71951.00,71951,71951,72681,106462.00,106462,106462,85666.00,85666,85666,71943,101866.00,101866,101866,104149.00,104149,104149,79905,91479.00,91479,91479,108831.00,108831,108831,91471,69043.00,69043,69043,101921.00,101921,101921,107619,55708.00,55708,55708,90675.00,90675,90675,110956,54216.00,54216,54216,68490.00,68490,68490,102441,21622.00,21622,21622,22367.00,22367,22367,37823,32612.00,32612,32612,32330.00,32330,32330,51837,50835.00,50835,50835,50100.00,50100,50100,65014,40765.00,40765,40765,46096.00,46096,46096,47637,31701.00,31701,31701,38098.00,38098,38098,38894,21846.00,21846,21846,25792.00,25792,25792,30399,18226.00,18226,18226,23316.00,23316,23316,29136
"G240","2010","Maryland","24",357818.01,357818,357823,353393.01,353393,353395,364488,332373.01,332373,332378,391318.00,391317,391321,366868,297164.01,297164,297169,392135.00,392134,392135,379029,174886.00,174886,174890,219326.00,219325,219326,242579,135764.00,135764,135765,136793.00,136793,136793,163662,72647.00,72647,72648,66616.00,66616,66616,81013,71101.00,71101,71101,62571.00,62571,62571,77465,225861.00,225859,225862,184942.00,184942,184943,235220,449196.01,449196,449202,342870.01,342869,342872,393548,450902.02,450900,450911,405651.00,405650,405652,368494,406998.01,406997,407004,464788.00,464788,464793,377409,370008.01,370008,370015,451368.00,451368,451370,418163,293234.00,293234,293239,399390.02,399390,399394,461585,228567.00,228567,228570,355642.02,355642,355648,440619,202170.00,202170,202173,268647.01,268647,268650,377989,79094.00,79094,79094,86667.00,86667,86667,134879,116203.01,116202,116206,115062.01,115062,115065,182900,180204.01,180203,180211,168242.00,168242,168243,226596,134287.00,134287,134290,153043.00,153043,153044,159761,96328.00,96328,96332,128491.01,128491,128493,124579,60167.01,60167,60169,82629.00,82629,82629,98580,46496.00,46496,46496,66902.00,66902,66902,98126
"G250","2010","Massachusetts","25",412473.00,412473,412476,397268.00,397268,397268,367087,378035.00,378035,378042,430861.00,430861,430861,385687,348093.00,348093,348096,431247.00,431247,431247,405613,214474.00,214474,214477,240688.00,240688,240688,260536,195460.00,195460,195461,175049.00,175049,175049,202220,106668.00,106668,106669,86049.00,86049,86049,101248,103331.00,103331,103331,81961.00,81961,81961,96372,303640.00,303640,303641,236269.00,236269,236269,278048,556920.00,556920,556926,434024.00,434024,434024,441525,544441.00,544441,544450,492764.00,492764,492764,403616,484393.00,484393,484397,540593.00,540593,540593,418195,434063.00,434063,434066,522402.00,522402,522402,468954,336669.00,336669,336672,461945.00,461945,461945,515434,263426.00,263426,263428,411408.00,411408,411408,497001,253458.00,253458,253459,310002.00,310002,310002,432822,103605.00,103605,103605,99290.00,99290,99290,156594,157992.00,157992,157993,137115.00,137115,137115,213953,252266.00,252266,252269,216498.00,216498,216498,264459,207615.00,207615,207618,211332.00,211332,211332,192001,160309.00,160309,160310,184941.00,184941,184941,162592,106885.00,106885,106885,130699.00,130699,130699,138473,92209.00,92209,92209,116692.00,116692,116692,145199
"G260","2010","Michigan","26",702554.00,702554,702554,672005.00,672005,672005,596286,692247.00,692247,692247,745181.00,745181,745181,637784,666370.00,666370,666370,747012.00,747012,747012,675216,397594.00,397594,397594,431569.00,431569,431569,434782,299209.00,299209,299209,288298.00,288298,288298,304817,150757.00,150757,150757,140244.00,140244,140244,149350,143173.00,143173,143173,134087.00,134087,134087,138484,411388.00,411388,411388,369508.00,369508,369508,381238,764262.00,764262,764262,654629.00,654629,654629,589583,810291.00,810291,810291,707542.00,707542,707542,574566,749062.00,749062,749062,787367.00,787367,787367,612493,657087.00,657087,657087,811006.00,811006,811006,665481,523730.00,523730,523730,734905.00,734905,734905,744581,424389.00,424389,424389,633034.00,633034,633034,765452,392787.00,392787,392787,485895.00,485895,485895,683186,160021.00,160021,160021,159433.00,159433,159433,243067,241915.00,241915,241915,217711.00,217711,217711,325744,369111.00,369111,369111,328835.00,328835,328835,418625,286727.00,286727,286727,314045.00,314045,314045,306084,212494.00,212494,212494,260144.00,260144,260144,244085,133222.00,133222,133222,173534.00,173534,173534,200855,106907.00,106907,106907,142460.00,142460,142460,191881
"G270","2010","Minnesota","27",336800.00,336800,336803,329594.00,329594,329594,355504,345840.01,345840,345845,355894.00,355894,355894,355536,313297.00,313297,313299,374995.00,374995,374996,352342,170846.00,170846,170847,226411.00,226411,226413,220681,126763.00,126763,126763,147951.00,147951,147951,147148,66046.00,66046,66046,70334.00,70334,70334,72732,62546.00,62546,62546,65906.00,65906,65906,70594,187454.00,187454,187455,186243.00,186243,186243,212325,381759.00,381759,381759,319826.00,319826,319826,372686,397984.01,397984,397987,353312.00,353312,353312,342900,361274.01,361274,361276,412490.00,412490,412490,328190,304810.00,304810,304811,411692.00,411692,411693,352904,237050.00,237050,237050,364247.00,364247,364248,406203,191410.00,191410,191410,301449.00,301449,301450,401695,173066.00,173066,173067,226857.00,226857,226860,349589,68308.00,68308,68309,75503.00,75503,75503,120761,102912.00,102912,102912,102509.00,102509,102509,159014,160036.00,160036,160036,153169.00,153169,153170,202570,134486.00,134486,134486,142656.00,142656,142657,151857,108433.00,108433,108434,122677.00,122677,122677,122114,75144.00,75144,75145,90163.00,90163,90163,99916,68835.00,68835,68835,85601.00,85601,85601,106664
"G280","2010","Mississippi","28",195365.00,195365,195371,204364.00,204364,204364,210956,211918.00,211918,211921,216920.00,216920,216920,205672,213305.00,213305,213314,218742.00,218742,218742,208248,126173.00,126173,126179,135161.00,135161,135161,130679,96706.00,96706,96711,98027.00,98027,98027,93940,45141.00,45141,45142,47999.00,47999,47999,45798,41320.00,41320,41320,44153.00,44153,44153,43475,110179.00,110179,110180,120795.00,120795,120795,121621,197740.00,197740,197746,192526.00,192526,192526,199082,202280.00,202280,202285,189272.00,189272,189272,188171,185402.00,185402,185410,212309.00,212309,212309,187368,164162.00,164162,164166,213063.00,213063,213063,187579,131627.00,131627,131634,192111.00,192111,192111,208369,116118.00,116118,116122,169870.00,169870,169870,208607,107784.00,107784,107784,132202.00,132202,132202,186569,42033.00,42033,42037,47422.00,47422,47422,67854,64679.00,64679,64681,66199.00,66199,66199,92902,99777.00,99777,99782,98179.00,98179,98179,120523,80372.00,80372,80373,87531.00,87531,87531,93946,65389.00,65389,65389,68558.00,68558,68558,69876,43411.00,43411,43411,46364.00,46364,46364,51703,32335.00,32335,32338,42891.00,42891,42891,44359
"G290","2010","Missouri","29",369244.02,369241,369247,369898.00,369894,369899,390237,378850.04,378847,378856,398898.00,398894,398902,390463,360481.04,360473,360488,412080.00,412076,412087,396925,206251.02,206247,206253,246816.00,246815,246817,247811,156566.00,156565,156568,166480.00,166479,166483,175975,77802.00,77801,77802,81184.00,81184,81184,86528,71767.00,71767,71768,76006.00,76006,76006,83511,211056.00,211051,211056,212308.00,212306,212310,243250,420002.02,419998,420004,362305.00,362305,362308,403239,432041.02,432038,432047,376428.00,376424,376432,372228,389625.04,389620,389633,443250.00,443248,443251,368070,345146.02,345137,345148,444319.00,444315,444326,380546,284337.02,284333,284342,395616.00,395612,395624,444766,238840.07,238838,238850,346846.00,346837,346849,443806,228556.03,228553,228568,279073.10,279068,279078,389985,90491.00,90490,90495,95840.10,95838,95843,140830,138338.00,138335,138342,132485.21,132485,132488,192463,218973.02,218968,218990,205372.00,205371,205373,257053,175229.02,175228,175237,187854.00,187851,187855,193437,143185.06,143184,143190,157207.00,157207,157207,155271,99077.02,99077,99078,106375.00,106375,106377,118754,81217.00,81217,81218,98571.00,98571,98572,113779
"G300","2010","Montana","30",59257.01,59257,59259,54869.00,54869,54869,62423,65377.01,65377,65381,61963.02,61963,61970,60765,62899.01,62899,62902,69298.02,69298,69306,61124,34571.01,34571,34575,43932.01,43932,43939,39251,22242.01,22242,22244,27378.00,27378,27380,27473,10461.00,10461,10462,12889.00,12889,12889,13789,9802.00,9802,9802,12143.00,12143,12145,13517,27506.00,27506,27507,33347.00,33347,33347,39832,56111.00,56111,56112,51104.00,51104,51104,64123,66959.00,66959,66962,52175.00,52175,52176,58741,68172.01,68172,68173,66580.02,66580,66587,55575,58584.01,58584,58590,75361.00,75361,75364,57370,45133.01,45133,45135,73398.01,73398,73400,71021,37173.00,37173,37175,61690.01,61690,61698,78811,34005.00,34005,34008,47174.00,47174,47176,75915,13894.01,13894,13898,15906.00,15906,15906,27095,20422.00,20422,20424,22039.00,22039,22040,35848,32496.00,32496,32499,32541.00,32541,32543,46556,28388.00,28388,28388,29978.00,29978,29979,34186,21408.00,21408,21409,24703.00,24703,24705,25637,13529.00,13529,13529,18390.00,18390,18390,20342,10676.00,10676,10677,15337.00,15337,15337,20021
"G310","2010","Nebraska","31",119606.00,119603,119613,117048.16,117044,117054,131908,126401.00,126400,126407,123445.00,123444,123445,128928,117383.02,117382,117388,128934.12,128929,128938,122706,65622.00,65621,65623,80815.00,80815,80815,75679,47238.00,47236,47240,54094.00,54094,54095,53251,23257.00,23257,23257,26068.00,26068,26069,26880,21988.00,21987,21989,24849.05,24849,24851,25679,63404.00,63401,63411,69414.00,69414,69415,76717,125217.01,125214,125227,112049.21,112048,112053,129076,131990.01,131987,131996,111224.07,111217,111227,116100,123778.00,123776,123785,130027.16,130023,130031,110361,105034.01,105034,105038,133807.00,133804,133809,110477,80668.00,80667,80671,122714.00,122712,122718,128491,68721.00,68715,68723,103040.00,103038,103041,130235,67281.10,67279,67284,77584.00,77582,77586,117686,26976.00,26976,26979,26258.00,26258,26259,41651,40752.00,40751,40754,37698.00,37696,37699,53839,64063.00,64060,64067,59391.00,59391,59391,68834,53580.00,53580,53582,56308.00,56308,56309,54292,44225.00,44224,44228,47991.00,47988,47991,46435,31998.00,31997,31998,34552.00,34552,34552,37808,29202.00,29202,29205,33953.00,33953,33953,39308
"G320","2010","Nevada","32",92217.00,92217,92217,145817.00,145817,145817,187478,85562.00,85562,85562,149322.00,149322,149322,183077,76008.00,76008,76008,139193.00,139193,139193,183173,43161.00,43161,43161,77467.00,77467,77467,111280,30999.00,30999,30999,49702.00,49702,49702,71320,16864.00,16864,16864,25378.00,25378,25378,35554,16948.00,16948,16948,25027.00,25027,25027,34258,54134.00,54134,54134,79601.00,79601,79601,107697,110583.00,110583,110583,148726.00,148726,148726,196644,111444.00,111444,111444,157885.00,157885,157885,190642,101268.00,101268,101268,165910.00,165910,165910,191652,90997.00,90997,90997,156051.00,156051,156051,191391,74228.00,74228,74228,140214.00,140214,140214,193790,61772.00,61772,61772,128836.00,128836,128836,182737,54681.00,54681,54681,105057.00,105057,105057,164575,21466.00,21466,21466,35967.00,35967,35967,62389,31870.00,31870,31870,49175.00,49175,49175,88535,50112.00,50112,50112,71387.00,71387,71387,115501,35673.00,35673,35673,60388.00,60388,60388,82280,22564.00,22564,22564,44851.00,44851,44851,57503,11819.00,11819,11819,25314.00,25314,25314,38888,7463.00,7463,7463,16989.00,16989,16989,30187
"G330","2010","New Hampshire","33",84565.00,84565,84565,75685.00,75685,75685,69806,80641.00,80641,80641,88537.00,88537,88537,77756,71725.00,71725,71725,93255.00,93255,93255,84620,41824.00,41824,41824,52085.00,52085,52085,55052,34640.00,34640,34640,34603.00,34603,34603,38568,17759.00,17759,17759,15858.00,15858,15858,18591,17190.00,17190,17190,15053.00,15053,15053,18356,48013.00,48013,48013,37855.00,37855,37855,47599,98662.00,98662,98662,71355.00,71355,71355,73121,106161.00,106161,106161,88706.00,88706,88706,71351,96722.00,96722,96722,109654.00,109654,109654,82152,85910.00,85910,85910,111525.00,111525,111525,97026,63908.00,63908,63908,98117.00,98117,98117,113564,48307.00,48307,48307,85869.00,85869,85869,112397,44703.00,44703,44703,62664.00,62664,62664,96289,17518.00,17518,17518,19860.00,19860,19860,34487,25975.00,25975,25975,27135.00,27135,27135,47467,39753.00,39753,39753,41143.00,41143,41143,57176,31718.00,31718,31718,37184.00,37184,37184,39586,24016.00,24016,24016,30593.00,30593,30593,31774,16256.00,16256,16256,20819.00,20819,20819,24971,13286.00,13286,13286,18231.00,18231,18231,24761
"G340","2010","New Jersey","34",532637.81,532635,532649,563785.00,563785,563785,541020,493045.59,493037,493054,604529.00,604529,604529,564750,480982.95,480976,480992,590577.00,590577,590577,587335,292798.00,292797,292798,328667.00,328667,328667,372109,212589.99,212588,212590,196549.00,196549,196549,225990,113488.98,113486,113489,96770.00,96770,96770,108760,109089.99,109089,109090,94284.00,94284,94284,106219,344015.00,344014,344016,289025.00,289025,289025,326259,668919.44,668913,668925,544917.00,544917,544917,553139,691733.96,691727,691748,644123.00,644123,644123,556662,622962.96,622956,622977,727924.00,727924,727924,588379,573695.95,573689,573707,707182.00,707182,707182,649918,466480.97,466475,466489,611357.00,611357,611357,704516,376527.95,376521,376530,547541.00,547541,547541,674680,355676.97,355672,355684,423338.00,423338,423338,565623,145713.00,145713,145713,139928.00,139928,139928,201084,217807.99,217807,217809,190718.00,190718,190718,279458,340231.97,340229,340233,293196.00,293196,293196,350972,269959.98,269956,269960,281473.00,281473,281473,260462,201441.00,201439,201441,240131.00,240131,240131,215715,124845.00,124845,124845,162337.00,162337,162337,179233,95547.00,95547,95547,135999.00,135999,135999,179611
